State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude
Alabama,Autauga,54571,20221,13.858333333333313,61082.91666666666,2,2,1,2,18092.661347758272,30141.638549293617,11064.872922059485,6835.64249724224,10632.847466959649,3939.647420062671,48518.850094596084,14613,6546,42855,9643,474,32,232,1335,1310,1081,2682,6.9,830.0,9158.0,34,18,711.0,145.0,1327.0,19.0,32.5349201866,-86.642749235
Alabama,Baldwin,182265,73180,14.358064516129026,60664.93548387098,3,3,3,2,46400.35064059055,72307.84915238811,43486.80622585031,15459.84841623139,23336.898272856168,14323.85104655792,165014.09403864015,41898,30568,156153,17105,1348,89,1216,6354,7992,2242,6471,7.5,2573.0,7394.0,27,16,2615.0,415.0,4791.0,20.0,30.6609696648,-87.7498400784
Alabama,Barbour,27457,9820,24.53333333333332,43123.0,3,3,1,2,6683.9756905252025,9302.717959523585,1182.1768720967082,3251.362573996477,4750.994135775944,518.7016154979631,23643.30001293734,6015,3909,13180,12875,107,29,114,1152,1387,802,2097,4.9,413.0,8573.0,44,25,525.0,85.0,771.0,45.0,31.8696032448,-85.3931969755
Alabama,Bibb,22915,7953,16.024999999999974,43362.5,0,0,0,1,295.6144259217978,295.6144259217978,0.0,164.90329523427047,164.90329523427047,0.0,21880.57789883414,5201,2906,17381,5047,22,13,64,388,406,299,1125,7.3,407.0,11766.0,40,20,333.0,33.0,561.0,29.0,32.9986442965,-87.1264391014
Alabama,Blount,57322,21578,17.911111111111094,52136.0,0,0,0,2,5855.939160548365,7387.084978374583,3900.4203692381398,2570.900480758877,3231.1587837236766,1674.59913911699,55357.911158833405,14106,8439,53068,761,117,38,307,3031,4626,823,2900,8.3,906.0,9333.0,35,19,705.0,123.0,1316.0,22.0,33.9808673856,-86.5673709608
Alabama,Bullock,10914,3745,19.3333333333333,45273.66666666666,2,2,0,2,6099.953134361751,7785.68564073716,3578.7545812833296,3192.4091151609623,4058.869921956592,1885.4387699258602,9076.48707549275,2430,1469,2507,7666,20,43,23,655,777,703,794,3.8,180.0,10858.0,43,28,212.0,32.0,371.0,51.0,32.1005542205,-85.7156972254
Alabama,Butler,20947,8491,24.811111111111078,42592.55555555556,3,3,1,2,2478.01401142952,4478.432770319186,1173.68525512093,1414.129113319348,2386.4500602889907,801.1943525251249,18057.020139505803,5056,3489,11399,9095,177,7,60,209,191,701,2123,6.0,401.0,12427.0,36,27,539.0,106.0,690.0,36.0,31.7524339429,-86.6802892154
Alabama,Calhoun,118572,47331,22.832258064516097,41626.48387096774,7,13,7,4,34221.446713327736,64949.13474195952,34221.446713327736,14477.229165709974,29217.923788304037,14477.229165709974,99233.63400680102,27126,16990,88840,24382,845,96,540,3869,3893,2562,8904,6.1,2133.0,10717.0,32,22,2488.0,673.0,3214.0,31.0,33.7714324565,-85.8260308543
Alabama,Chambers,34215,13933,24.33333333333333,41690.22222222222,3,3,3,5,6793.989973628833,10900.259149698146,6065.401001476229,3534.147353584306,5548.070121117215,3285.772881680907,29051.620195930864,7703,5706,20112,13257,168,10,69,599,536,1238,2519,5.6,700.0,11410.0,40,24,888.0,180.0,908.0,34.0,32.9143722298,-85.3920429513
Alabama,Cherokee,25989,10626,21.049999999999933,45531.0,0,0,0,0,3518.586386153228,3989.1895299905377,3415.06388726963,1526.3901764812495,1777.6236247705792,1468.92527476483,25183.061294188818,5566,4651,24081,1208,54,1,135,510,320,346,1960,7.9,544.0,12534.0,34,19,554.0,100.0,609.0,30.0,34.1759559677,-85.6037937156
Alabama,Chilton,43643,16558,17.733333333333288,52456.77777777778,1,1,1,1,4707.387220895783,5989.9568847239025,3972.59931897575,2072.7389336795804,2580.78979880356,1830.70062299155,41319.898065458234,10960,5921,36713,4230,130,55,155,2360,3420,837,2952,7.8,770.0,10678.0,36,21,457.0,152.0,1078.0,28.0,32.847853212,-86.718813672
Alabama,Choctaw,13859,5866,22.999999999999968,48360.25,1,1,0,2,2702.895198891986,2702.895198891986,0.0,1010.3791764765776,1010.3791764765776,0.0,13381.478716496247,3141,2519,7731,6012,12,0,18,86,73,463,1266,5.4,266.0,12937.0,41,25,425.0,14.0,399.0,34.0,32.0196107831,-88.2632012743
