State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude,Environment Category
Alabama,Barbour,27457,9820,24.53333333333332,43123.0,3,3,1,2,6683.9756905252025,9302.717959523585,1182.1768720967082,3251.362573996477,4750.994135775944,518.7016154979631,23643.30001293734,6015,3909,13180,12875,107,29,114,1152,1387,802,2097,4.9,413.0,8573.0,44,25,525.0,85.0,771.0,45.0,31.8696032448,-85.3931969755,Food Deserts
Alabama,Bullock,10914,3745,19.3333333333333,45273.66666666666,2,2,0,2,6099.953134361751,7785.68564073716,3578.7545812833296,3192.4091151609623,4058.869921956592,1885.4387699258602,9076.48707549275,2430,1469,2507,7666,20,43,23,655,777,703,794,3.8,180.0,10858.0,43,28,212.0,32.0,371.0,51.0,32.1005542205,-85.7156972254,Food Deserts
Alabama,Choctaw,13859,5866,22.999999999999968,48360.25,1,1,0,2,2702.895198891986,2702.895198891986,0.0,1010.3791764765776,1010.3791764765776,0.0,13381.478716496247,3141,2519,7731,6012,12,0,18,86,73,463,1266,5.4,266.0,12937.0,41,25,425.0,14.0,399.0,34.0,32.0196107831,-88.2632012743,Food Deserts
Alabama,Clarke,25833,10337,26.955555555555524,44922.66666666666,3,3,1,4,8757.354817556055,10670.844616608365,6468.10857398756,4187.266752646881,4963.147371275501,2969.04897591401,23884.602405454174,6389,4174,14070,11336,77,4,103,243,271,1174,1907,4.6,395.0,9469.0,38,23,508.0,110.0,940.0,31.0,31.6766595802,-87.8308098507,Food Deserts
Alabama,Conecuh,13228,5625,29.399999999999963,34702.8,4,4,0,3,3558.359440280653,3558.359440280653,0.0,1750.034803964982,1750.034803964982,0.0,12275.843818569707,3042,2362,6788,6149,17,1,44,229,161,501,1497,4.3,277.0,12828.0,36,28,346.0,72.0,429.0,41.0,31.4292715445,-86.9936742092,Food Deserts
Alabama,Dallas,43820,17064,35.579999999999956,36760.6,4,8,2,8,6222.120437113421,17553.82561103475,2281.130977252953,3773.501573238879,11325.048162835401,1104.5533043100133,36361.24295172616,11595,6165,12769,30423,149,11,85,383,309,2385,5176,3.4,878.0,12928.0,41,28,765.0,329.0,1502.0,50.0,32.325973709,-87.1064763258,Food Deserts
Alabama,Greene,9045,3764,37.533333333333296,30559.33333333333,2,2,0,2,2962.991008885671,2962.991008885671,0.0,1930.4269285667426,1930.4269285667426,0.0,8109.372933613921,2194,1454,1575,7370,15,0,17,68,69,401,1231,2.3,184.0,12431.0,46,34,218.0,73.0,319.0,55.0,32.8531388427,-87.9522309156,Food Deserts
Alabama,Lowndes,11299,4352,31.14999999999995,37409.0,1,1,0,3,2539.864391814919,2539.864391814919,0.0,1475.891758278439,1475.891758278439,0.0,10946.68765151783,2732,1655,2859,8310,14,0,25,91,87,526,1210,2.2,219.0,12910.0,45,29,248.0,55.0,443.0,47.0,32.1547500095,-86.6501076967,Food Deserts
Alabama,Macon,21452,8499,27.66666666666661,46682.08333333334,6,7,5,4,8583.010685155345,11297.841722062494,6429.138768794038,4953.986196774153,6453.829689177678,3816.0798099461604,20214.549535737806,4420,3031,3319,17729,76,2,29,297,232,1107,2464,3.1,354.0,13001.0,45,28,391.0,148.0,644.0,46.0,32.3859736952,-85.6926686622,Food Deserts
Alabama,Marengo,21027,8535,25.08333333333325,44825.66666666666,4,4,1,4,6390.593493047566,7929.483809753256,1857.0881391869198,3129.1370979506787,4042.4603969794734,754.1988289006059,17559.674992397588,5191,3424,9751,10872,53,13,34,304,352,1027,1961,4.7,366.0,11076.0,40,26,548.0,96.0,570.0,35.0,32.2476134122,-87.7895192944,Food Deserts
Alabama,Monroe,23068,9214,29.328571428571358,40901.857142857145,2,2,0,4,4507.820446826308,4507.820446826308,2.70283095883496,2324.6469120063857,2324.6469120063857,1.33709729456677,21674.241545478602,5841,3618,12718,9614,67,9,260,400,220,973,1270,4.2,403.0,11849.0,35,26,444.0,105.0,736.0,36.0,31.5708340246,-87.3654375115,Food Deserts
Alabama,Montgomery,229363,89981,23.607692307692275,55678.03076923077,23,37,21,16,78182.90009421567,159524.88511251073,73020.38395926997,35787.02585482731,69054.71943488758,33822.77313043793,180439.72176070165,56167,27421,90656,125477,4821,171,589,7649,8314,7324,17106,5.0,3133.0,9717.0,35,23,2658.0,937.0,6385.0,34.0,32.2202579876,-86.2076142923,Food Deserts
Alabama,Perry,10591,3947,34.79999999999996,32812.0,1,1,0,2,881.5494763742024,881.5494763742024,0.0,517.3827952381389,517.3827952381389,0.0,9451.38945497182,2553,1769,3204,7276,30,5,17,59,114,472,1054,4.1,211.0,13849.0,43,29,257.0,,349.0,54.0,32.6384656558,-87.2944007854,Food Deserts
Alabama,Sumter,13763,5629,34.49999999999995,36579.5,1,1,0,2,2304.478096742045,2304.478096742045,21.490576248674103,1427.60366640777,1427.60366640777,13.7027067203307,12406.109587240859,3068,2063,3326,10316,33,4,11,73,86,779,1598,3.9,223.0,12048.0,40,36,330.0,64.0,407.0,44.0,32.5910175308,-88.1987896089,Food Deserts
Alabama,Wilcox,11670,4484,44.824999999999946,27508.0,3,3,0,4,4997.128567756621,4997.128567756621,2.1048221974633603,3555.235861606973,3555.235861606973,1.3828455368056798,11590.544913524942,3150,1752,3126,8465,4,1,14,60,72,508,1094,1.2,279.0,17987.0,45,31,289.0,48.0,412.0,49.0,31.9892401922,-87.3082017869,Food Deserts
Alaska,Bethel,17013,4651,23.666666666666625,52883.0,2,2,2,2,13761.26656917167,15239.254776231579,11528.925957869578,7784.488003129637,8164.160764643481,6233.5777071347275,15796.0517619004,6218,1041,1894,65,160,27,14109,758,181,2533,1555,2.4,206.0,12206.0,30,25,56.0,,1055.0,32.0,60.8490903436,-160.195267975,Food Deserts
Alaska,Dillingham,4847,1563,17.65,63279.5,1,1,1,1,2461.509666027209,2461.509666027209,1729.6223252481698,1560.6162051467277,1560.6162051467277,1150.7731946195802,4490.42805863761,1595,367,878,11,32,6,3470,450,101,512,330,5.5,64.0,13249.0,38,21,,,197.0,30.0,59.7139951133,-158.348270189,Food Deserts
Alaska,Lake and Peninsula,1631,553,18.0,54148.0,1,1,1,1,1628.6856195487198,1628.6856195487198,1625.1002038810502,709.751576367962,709.751576367962,708.113841122193,1630.98475030556,492,127,380,9,6,5,1061,170,43,254,97,1.9,,,32,21,,,81.0,31.0,58.2787538674,-156.544796848,Food Deserts
Alaska,Nome,9492,2815,24.65,54179.0,1,1,1,1,5276.00763807735,5276.00763807735,4442.6998355498845,3615.8203027743157,3615.8203027743157,3024.1095660319097,6843.97507317041,3259,603,1552,27,96,9,7199,609,115,1565,873,2.8,136.0,12354.0,32,25,35.0,,485.0,28.0,64.8354505226,-164.244322616,Food Deserts
Alaska,Northwest Arctic,7523,1919,21.749999999999947,66501.0,1,1,1,1,4363.809284806638,5396.489776332311,3548.1082026336885,2577.7140417203464,2953.702093371392,2149.7419943907958,5396.734841201011,2655,455,846,37,42,12,6121,465,58,1212,588,2.9,85.0,11151.0,32,24,,,463.0,35.0,67.0081724432,-160.006978537,Food Deserts
Alaska,Yukon-Koyukuk,5588,2217,24.1,48222.75,4,4,4,4,5587.999995387751,5587.999995387751,5587.999995387751,2779.799147713837,2779.799147713837,2779.799147713837,5587.999995387751,1552,569,1243,10,14,6,3992,323,66,1016,665,0.9,119.0,15729.0,28,23,64.0,,442.0,34.0,65.5086521548,-151.389616025,Food Deserts
Arizona,Apache,71518,22771,35.93749999999995,36822.125,12,12,9,12,43728.95616971375,45859.04270944278,27968.038916974718,29830.203127557223,30807.968296892228,19721.359784703527,69750.38679207451,22660,8268,16634,175,203,26,52154,2326,4113,2122,5018,0.9,1120.0,14480.0,35,30,1285.0,84.0,2773.0,45.0,35.3955080611,-109.488828707,Food Deserts
Arizona,Coconino,134421,46711,24.83214285714283,57898.714285714275,10,12,10,6,41039.05276377419,70513.8626610075,34748.67124841891,18853.43075403521,31813.960930723522,15514.29974504934,99474.19464035367,31788,11924,82967,1629,1846,164,36714,11101,18166,2974,6726,5.4,1219.0,7410.0,23,18,1231.0,462.0,4786.0,21.0,35.8386956734,-111.770512718,Food Deserts
Arizona,Greenlee,8437,3188,14.866666666666632,53014.33333333334,1,1,1,1,5724.898759650337,5724.898759650337,4571.3481549564995,2433.645205076099,2433.645205076099,1821.397248743181,8436.99999459342,2463,1016,6514,89,46,5,195,1588,4040,139,346,5.3,82.0,6848.0,35,19,124.0,55.0,320.0,11.0,33.2154016682,-109.240355413,Food Deserts
Arizona,Mohave,200186,82539,20.525581395348816,46332.46511627907,20,24,16,12,91285.56394025356,131060.37640979224,76705.34597937124,40218.02904206766,57606.60210808696,33773.21769721532,172200.91972651644,41265,46658,173878,1882,2103,341,4500,17482,29569,4284,13854,5.2,4425.0,10596.0,30,17,4100.0,399.0,6363.0,30.0,35.7040584995,-113.757910618,Food Deserts
Arizona,Navajo,107449,35658,31.012903225806397,40353.32258064516,17,18,10,15,43617.76519243075,50106.270637387286,30207.688701545903,28362.749491821225,31528.903613882852,18844.272629166517,96155.36651927489,31973,14241,52972,938,580,75,46611,6273,11571,3182,9065,4.3,1621.0,12283.0,31,23,1875.0,367.0,3972.0,37.0,35.3995733714,-110.321396004,Food Deserts
Arkansas,Ashley,21853,8765,18.714285714285687,45983.571428571435,4,4,2,1,5209.597258938974,9658.485726880164,2541.1712970632793,3018.781549008249,5622.395830194035,1565.1386138868452,19156.41549389308,5330,3544,15143,5640,40,3,70,957,1069,512,1770,5.3,387.0,10435.0,42,25,483.0,61.0,655.0,31.0,33.1912219797,-91.7684475565,Food Deserts
Arkansas,Calhoun,5368,2262,17.200000000000006,46267.0,1,1,0,0,3493.5279607473303,3493.5279607473303,0.0,1747.3162669906678,1747.3162669906678,0.0,5367.9999932559795,1102,923,4001,1192,11,0,15,149,152,131,250,3.6,100.0,9149.0,34,24,93.0,9.0,137.0,23.0,33.5580341574,-92.5030441645,Food Deserts
Arkansas,Chicot,11800,4579,32.89999999999995,32657.0,2,2,2,3,7301.14018552802,7301.14018552802,5510.999996462379,4068.0145197531483,4068.0145197531483,3343.32251161159,11047.798685684871,2724,2149,4864,6381,55,4,23,473,542,687,1219,4.7,214.0,10258.0,43,30,244.0,53.0,350.0,43.0,33.2672553197,-91.2939728213,Food Deserts
Arkansas,Columbia,24552,9759,28.43999999999998,48162.4,2,2,2,3,4743.859982897493,8798.399249378763,3283.31467587375,2111.3567293955357,4340.676754677367,1553.8820225109891,20676.74978387522,5594,3928,14696,9059,177,4,71,545,533,746,2070,5.2,400.0,10160.0,36,25,442.0,66.0,643.0,33.0,33.2142871374,-93.227308885,Food Deserts
Arkansas,Crittenden,50902,19026,27.629999999999985,46981.25,4,9,3,5,10843.922560713214,28099.66409523625,9862.454265340451,3589.331142775369,12425.958491301286,3204.546732506799,39197.69115006891,14809,5477,23446,26051,301,8,135,961,1014,2102,4079,4.9,913.0,11955.0,39,29,738.0,678.0,1373.0,37.0,35.2079371348,-90.3088719897,Food Deserts
Arkansas,Dallas,8116,3280,13.933333333333302,48717.33333333334,0,0,0,0,4671.75392816989,6138.744689665769,2178.287215544681,2114.88569953988,2795.3820094417492,1044.7086038258367,6989.981664594099,1913,1474,4476,3400,11,1,32,196,188,455,547,5.0,146.0,9632.0,36,25,154.0,35.0,215.0,36.0,33.9698311293,-92.6544402046,Food Deserts
Arkansas,Desha,13008,5321,30.999999999999982,39860.6,2,2,2,2,4205.687195330838,4972.081658804069,3037.605538000039,2009.8261476002247,2592.3528033127327,1660.6314067122512,10937.488276851858,3377,1970,6230,6216,43,2,35,482,578,631,1448,3.5,256.0,11456.0,40,30,283.0,60.0,422.0,46.0,33.8333331807,-91.2539442656,Food Deserts
Arkansas,Drew,18509,7360,28.419999999999963,41690.6,2,2,1,1,4846.658314063643,6541.200924725473,2770.53781233088,2405.470962892063,3290.653034156453,1437.40534205264,15785.585680763446,4361,2735,12739,5144,95,5,43,483,454,442,1426,5.0,279.0,10090.0,34,26,293.0,74.0,567.0,29.0,33.5894557062,-91.720023319,Food Deserts
Arkansas,Hempstead,22609,8839,24.659999999999982,44370.0,3,3,2,2,7145.4613312654,11884.575592571888,4041.01770331267,3590.5160716140704,6752.83207801383,2327.62671608025,20842.09696189036,5878,3396,13431,6646,82,19,88,2343,2713,576,1154,5.5,394.0,10768.0,40,29,359.0,139.0,508.0,34.0,33.7353045888,-93.6684431539,Food Deserts
Arkansas,Jackson,17997,6724,25.17999999999996,42463.6,3,3,2,2,4921.83974354139,7080.9587903150905,4116.71067005178,2785.9753768124883,3765.3965042321747,2287.186289432434,15601.719115594942,3734,2856,14363,3000,53,16,91,474,436,557,1449,5.3,348.0,10496.0,37,24,442.0,85.0,484.0,40.0,35.5992402368,-91.2145376687,Food Deserts
Arkansas,Jefferson,77435,28873,27.841666666666626,42724.04166666666,3,14,3,2,16794.639055617426,41046.906626056414,14535.827128494397,5716.008876215807,19229.596956614663,4598.94168121808,62770.172848031296,18428,10255,32507,42639,601,9,213,1466,1219,2082,5930,4.6,1306.0,11169.0,41,26,1131.0,655.0,2110.0,38.0,34.2687844437,-91.9315146225,Food Deserts
Arkansas,Lafayette,7645,3150,25.349999999999948,43135.5,1,1,0,2,1615.9385292361735,1615.9385292361735,0.0,719.2129098545983,719.2129098545983,0.0,7016.12731162431,1776,1483,4642,2845,26,0,17,115,131,302,643,5.0,172.0,14143.0,36,26,154.0,16.0,208.0,36.0,33.2409810885,-93.6070389924,Food Deserts
