State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty
Alabama,Autauga,54571,20221,13.858333333333315,61082.916666666664,18092.661347758272,30141.638549293617,11064.872922059483,6835.64249724224,10632.847466959647,3939.647420062671,48518.850094596084,14613,6546,42855,9643,474,32,232,1335,1310,1081,2682,6.9,830.0,9158.0,34,18,711.0,145.0,1327.0,19.0
Alabama,Baldwin,182265,73180,14.358064516129025,60664.93548387097,46400.35064059055,72307.84915238811,43486.806225850305,15459.84841623139,23336.898272856168,14323.85104655792,165014.09403864015,41898,30568,156153,17105,1348,89,1216,6354,7992,2242,6471,7.5,2573.0,7394.0,27,16,2615.0,415.0,4791.0,20.0
Alabama,Barbour,27457,9820,24.53333333333332,43123.0,6683.975690525203,9302.717959523585,1182.176872096708,3251.3625739964773,4750.994135775945,518.7016154979631,23643.30001293734,6015,3909,13180,12875,107,29,114,1152,1387,802,2097,4.9,413.0,8573.0,44,25,525.0,85.0,771.0,45.0
Alabama,Bibb,22915,7953,16.024999999999977,43362.5,295.6144259217978,295.6144259217978,0.0,164.90329523427047,164.90329523427047,0.0,21880.57789883414,5201,2906,17381,5047,22,13,64,388,406,299,1125,7.3,407.0,11766.0,40,20,333.0,33.0,561.0,29.0
Alabama,Blount,57322,21578,17.911111111111097,52136.0,5855.939160548365,7387.084978374584,3900.42036923814,2570.900480758877,3231.158783723677,1674.59913911699,55357.91115883341,14106,8439,53068,761,117,38,307,3031,4626,823,2900,8.3,906.0,9333.0,35,19,705.0,123.0,1316.0,22.0
Alabama,Bullock,10914,3745,19.3333333333333,45273.666666666664,6099.953134361751,7785.68564073716,3578.75458128333,3192.4091151609623,4058.8699219565924,1885.43876992586,9076.48707549275,2430,1469,2507,7666,20,43,23,655,777,703,794,3.8,180.0,10858.0,43,28,212.0,32.0,371.0,51.0
Alabama,Butler,20947,8491,24.811111111111078,42592.555555555555,2478.01401142952,4478.432770319186,1173.68525512093,1414.129113319348,2386.4500602889902,801.194352525125,18057.020139505803,5056,3489,11399,9095,177,7,60,209,191,701,2123,6.0,401.0,12427.0,36,27,539.0,106.0,690.0,36.0
Alabama,Calhoun,118572,47331,22.832258064516097,41626.48387096774,34221.446713327736,64949.13474195953,34221.446713327736,14477.229165709972,29217.92378830404,14477.229165709972,99233.63400680102,27126,16990,88840,24382,845,96,540,3869,3893,2562,8904,6.1,2133.0,10717.0,32,22,2488.0,673.0,3214.0,31.0
Alabama,Chambers,34215,13933,24.33333333333333,41690.22222222222,6793.989973628833,10900.259149698146,6065.40100147623,3534.147353584306,5548.070121117215,3285.7728816809067,29051.62019593086,7703,5706,20112,13257,168,10,69,599,536,1238,2519,5.6,700.0,11410.0,40,24,888.0,180.0,908.0,34.0
Alabama,Cherokee,25989,10626,21.049999999999933,45531.0,3518.586386153228,3989.189529990538,3415.06388726963,1526.3901764812492,1777.6236247705792,1468.92527476483,25183.06129418882,5566,4651,24081,1208,54,1,135,510,320,346,1960,7.9,544.0,12534.0,34,19,554.0,100.0,609.0,30.0
